time,acc x,acc y, acc z,gyro x, gyro y,gyro z
20633,-27,-46,990,140,210,-140
20734,-27,-46,989,140,140,-140
20833,-27,-46,989,140,210,-140
20933,-27,-46,990,140,210,-140
21034,-26,-46,989,70,140,-210
21133,-27,-46,990,140,280,-140
21234,-27,-46,989,70,210,-210
21334,-26,-46,989,70,210,-140
21433,-26,-47,989,70,210,-140
21534,-26,-47,988,70,210,-140
21634,-27,-46,991,140,280,-210
21733,-26,-46,990,70,140,-140
21834,-27,-46,990,70,280,-140
21933,-26,-47,989,0,210,-140
22033,-27,-46,989,140,210,-210
22134,-26,-46,990,70,210,-210
22233,-27,-46,990,140,210,-210
22333,-26,-46,990,140,140,-210
22434,-27,-46,990,140,210,-70
22533,-27,-47,989,70,210,-140
22634,-26,-46,989,70,280,-140
22734,-27,-46,989,70,210,-140
22833,-27,-46,989,70,210,-210
22934,-27,-46,990,140,210,-140
23033,-27,-46,990,140,210,-140
23133,-26,-47,990,70,280,-140
23234,-27,-46,989,70,140,-210
23333,-27,-46,990,140,280,-140
23433,-27,-46,989,140,210,-140
23534,-27,-46,990,140,210,-210
23633,-27,-46,990,140,210,-210
23734,-27,-46,990,70,140,-140
23834,-27,-47,988,70,140,-140
23933,-27,-46,989,140,210,-210
24034,-26,-46,988,70,210,-210
24134,-27,-46,989,140,210,-140
24233,-27,-47,989,70,280,-140
24334,-26,-46,989,70,140,-140
24433,-27,-46,990,70,210,-140
24533,-26,-46,989,70,210,-140
24634,-26,-46,989,140,280,-140
24733,-26,-46,990,140,140,-140
24834,-27,-46,989,140,280,-210
24934,-27,-47,990,140,140,-140
25033,-26,-46,989,70,280,-140
25134,-27,-46,990,140,140,-140
25234,-27,-46,988,70,280,-140
25333,-26,-46,990,140,140,-140
25434,-27,-46,989,140,210,-140
25533,-26,-46,989,140,210,-210
25633,-27,-46,990,70,280,-140
25734,-27,-46,989,70,210,-210
25833,-27,-45,989,140,210,-210
25933,-26,-46,990,140,210,-140
26034,-27,-46,990,70,210,-140
26133,-26,-46,990,140,210,-140
26234,-27,-46,990,140,210,-140
26334,-26,-45,988,70,280,-70
26433,-26,-46,989,140,140,-140
26534,-27,-47,989,70,280,-140
26633,-27,-45,990,70,140,-140
26733,-26,-46,989,70,210,-140
26834,-26,-46,989,70,210,-210
26933,-27,-46,989,140,210,-210
27033,-27,-46,989,140,210,-140
27134,-27,-46,989,70,210,-140
27233,-26,-46,990,70,210,-140
27333,-27,-46,989,70,210,-140
27434,-26,-46,990,140,210,-210
27533,-27,-46,989,70,280,-210
27634,-27,-47,989,70,280,-140
27734,-26,-47,990,70,210,-140
27833,-26,-46,989,70,140,-140
27934,-26,-46,989,70,280,-140
28034,-28,-47,988,70,210,-140
28133,-27,-46,989,70,210,-140
28234,-27,-46,989,70,210,-140
28333,-26,-46,988,0,210,-210
28433,-26,-46,989,70,280,-140
28534,-27,-46,989,70,210,-140
28633,-27,-46,989,70,140,-140
28733,-27,-46,989,70,210,-140
28834,-26,-46,989,70,210,-140
28933,-26,-47,989,70,210,-140
29034,-27,-47,990,70,210,-140
29134,-26,-46,989,70,140,-140
29233,-26,-46,989,70,210,-140
29334,-26,-46,989,70,210,-210
29433,-27,-47,989,70,210,-210
29533,-27,-46,989,70,210,-140
29634,-27,-46,989,140,210,-140
29733,-27,-46,989,70,140,-140
29833,-27,-46,989,70,210,-140
29934,-27,-46,989,140,210,-140
30033,-27,-46,990,70,210,-140
30133,-27,-46,989,140,210,-140
30234,-26,-46,989,140,280,-140
30333,-27,-46,989,70,210,-210
30434,-26,-46,990,140,210,-140
30534,-27,-47,989,70,210,-140
30633,-27,-46,989,140,210,-140
30734,-27,-46,989,140,210,-140
30834,-27,-47,990,140,210,-140
30933,-27,-46,989,70,280,-140
31034,-26,-46,990,70,210,-140
31133,-26,-46,989,140,210,-140
31233,-27,-46,989,140,210,-140
31334,-27,-47,989,70,210,-140
31433,-27,-46,990,70,210,-140
31533,-26,-46,990,70,210,-140
31634,-26,-46,989,70,280,-140
31733,-28,-46,990,70,140,-140
31834,-26,-46,989,70,210,-210
31934,-26,-46,990,70,210,-140
32033,-26,-46,990,70,210,-140
32134,-27,-46,989,140,210,-140
32234,-27,-46,989,70,210,-210
32333,-26,-46,990,140,280,-140
32434,-27,-46,990,70,210,-210
32533,-26,-46,989,70,210,-140
32633,-26,-46,990,70,210,-140
32734,-27,-46,989,70,210,-140
32833,-27,-46,989,140,210,-140
32933,-26,-46,988,140,210,-140
33034,-27,-47,991,140,140,-140
33133,-27,-46,990,70,210,-140
33234,-27,-46,989,70,210,-210
33334,-27,-46,989,70,280,-140
33433,-27,-46,989,70,140,-140
33534,-26,-46,989,70,280,-140
33633,-26,-47,989,140,140,-140
33733,-26,-46,990,70,210,-140
33834,-27,-46,990,70,140,-140
33933,-27,-46,990,70,210,-140
34033,-26,-46,989,140,140,-140
34134,-27,-46,988,140,210,-140
34233,-26,-46,989,140,210,-140
34333,-27,-46,989,210,210,-210
34434,-27,-46,989,0,140,-140
34533,-26,-46,989,0,210,-70
34634,-27,-47,988,0,210,-140
34734,-26,-46,989,70,210,-140
34833,-26,-46,988,70,210,-140
34934,-27,-46,991,140,280,-70
35033,-27,-46,990,70,210,-140
35133,-27,-46,990,70,210,-140
35234,-26,-46,990,0,210,-140
35333,-27,-46,989,140,210,-140
35433,-26,-47,989,140,210,-140
35534,-27,-46,990,140,210,-210
35633,-28,-46,990,70,210,-210
35733,-27,-47,989,140,210,-140
35834,-27,-46,989,70,210,-140
35933,-27,-47,988,70,210,-140
36034,-26,-46,989,70,210,-140
36134,-27,-46,990,140,140,-210
36233,-27,-46,990,70,210,-140
36334,-27,-46,990,140,140,-140
36433,-27,-46,990,70,280,-140
36533,-26,-46,989,70,210,-140
36634,-26,-46,989,140,210,-140
36733,-27,-46,990,70,210,-210
36833,-27,-46,990,140,210,-140
36934,-26,-46,991,70,210,-140
37033,-27,-46,989,70,140,-140
37134,-26,-46,989,70,210,-210
37234,-26,-47,988,140,210,-140
37333,-27,-46,989,70,140,-140
37434,-26,-46,989,140,210,-140
37534,-27,-46,989,0,280,-140
37633,-27,-46,989,70,210,-140
37734,-27,-47,989,70,210,-140
37833,-27,-46,989,140,210,-140
37933,-27,-46,990,140,210,-210
38034,-26,-46,989,70,210,-140
38133,-27,-46,990,140,140,-140
38233,-27,-47,990,70,140,-140
38334,-26,-46,989,70,210,-140
38433,-27,-47,989,140,210,-140
38534,-27,-46,990,210,210,-140
38634,-27,-46,989,70,210,-140
38733,-26,-47,990,0,210,-140
38834,-26,-46,988,70,280,-140
38933,-27,-46,989,70,210,-140
39033,-27,-46,989,70,210,-140
39134,-27,-47,989,70,210,-140
39233,-27,-46,989,140,210,-140
39333,-27,-47,990,140,210,-210
39434,-26,-46,990,70,210,-210
39533,-27,-45,990,70,210,-140
39633,-27,-46,990,140,210,-210
39734,-27,-47,989,140,210,-140
39833,-26,-45,989,70,210,-210
39934,-26,-47,990,140,210,-140
40034,-26,-47,989,0,210,-140
40133,-27,-46,989,70,280,-140
40234,-27,-46,989,140,140,-140
40333,-26,-46,989,70,280,-140
40433,-26,-47,990,140,210,-140
